city_code,community_id,merchant_count,anchor_count,anchor_merchants
shanghai,0,57,3,0015006|0063581|0014858
shanghai,1,54,3,0164332|0086198|0063384
shanghai,2,49,3,0147454|0147620|0147598
shanghai,3,41,3,0062987|0115638|0042037
shanghai,4,40,3,0155222|0155325|0155341
shanghai,5,37,3,0021273|0021275|0082000
shanghai,6,35,3,0079816|0079798|0079791
shanghai,7,33,3,0054362|0054364|0054300
shanghai,8,32,3,0017689|0017688|0081999
shanghai,9,31,3,0086664|0147702|0086663
shanghai,10,31,3,0015894|0015906|0015924
shanghai,11,29,3,0235102|0048345|0035671
shanghai,12,28,3,0235087|0021404|0038909
shanghai,13,28,3,0063499|0075348|0063518
shanghai,14,27,3,0014898|0014893|0014869
shanghai,15,27,3,0064915|0036705|0064926
shanghai,16,26,3,0014308|0014299|0037670
shanghai,17,26,3,0035648|0114231|0084658
shanghai,18,23,3,0036714|0138977|0138975
shanghai,19,23,3,0146613|0146610|0146628
shanghai,20,22,3,0077150|0078819|0118696
shanghai,21,22,3,0126733|0084197|0035646
shanghai,22,22,3,0063127|0063150|0063162
shanghai,23,21,3,0015353|0015346|0015352
shanghai,24,21,3,0066475|0066473|0066509
shanghai,25,21,3,0146673|0146670|0146674
shanghai,26,20,3,0063155|0063149|0063135
shanghai,27,19,3,0085813|0077112|0085811
shanghai,28,18,3,0063210|0063207|0063204
shanghai,29,17,3,0016117|0016121|0014474
shanghai,30,17,3,0084665|0035653|0089120
shanghai,31,17,3,0063615|0063639|0077156
shanghai,32,16,3,0235123|0115635|0021514
shanghai,33,16,3,0025115|0025073|0025078
shanghai,34,16,3,0077121|0109187|0082844
shanghai,35,16,3,0054834|0054796|0089341
shanghai,36,16,3,0084090|0114345|0077117
shanghai,37,15,3,0100773|0100772|0103506
shanghai,38,14,3,0048283|0024904|0048272
shanghai,39,14,3,0026731|0026717|0026741
shanghai,40,13,3,0084660|0082079|0084080
shanghai,41,12,3,0014730|0014731|0014727
shanghai,42,12,3,0015950|0083410|0084676
shanghai,43,12,3,0020845|0235089|0155458
shanghai,44,12,3,0022002|0021956|0021965
shanghai,45,12,3,0054632|0035512|0045429
shanghai,46,12,3,0035664|0077162|0235106
shanghai,47,12,3,0048497|0048503|0048496
shanghai,48,12,3,0065734|0075371|0089416
shanghai,49,12,3,0084699|0084136|0077191
shanghai,50,11,3,0014794|0147419|0014792
shanghai,51,11,3,0038886|0015375|0039105
shanghai,52,11,3,0015401|0015404|0015420
shanghai,53,11,3,0019094|0019085|0019093
shanghai,54,11,3,0236764|0089110|0117787
shanghai,55,11,3,0170856|0170860|0170861
shanghai,56,10,3,0000438|0000431|0000432
shanghai,57,10,3,0014622|0014626|0014632
shanghai,58,10,3,0014826|0078930|0047507
shanghai,59,10,3,0015066|0015049|0015069
shanghai,60,10,3,0015105|0015138|0015099
shanghai,61,10,3,0016103|0016107|0016106
shanghai,62,10,3,0083409|0089694|0153920
shanghai,63,10,3,0018724|0205107|0205108
shanghai,64,10,3,0021764|0021763|0035667
shanghai,65,10,3,0021873|0021831|0021876
shanghai,66,10,3,0021890|0021892|0021900
shanghai,67,10,3,0035375|0035372|0035351
shanghai,68,10,3,0063191|0063189|0063190
shanghai,69,10,3,0066719|0066751|0066722
shanghai,70,10,3,0084689|0147710|0147707
shanghai,71,10,3,0132294|0132290|0132293
shanghai,72,10,3,0147683|0147686|0147687
shanghai,73,9,3,0002285|0002301|0002321
shanghai,74,9,3,0146725|0077128|0015493
shanghai,75,9,3,0103492|0103497|0016930
shanghai,76,9,3,0035639|0089734|0092591
shanghai,77,9,3,0022161|0022134|0022132
shanghai,78,9,3,0155452|0089269|0050276
shanghai,79,9,3,0064884|0064885|0064880
shanghai,80,9,3,0100788|0078957|0100785
shanghai,81,9,3,0205086|0128718|0129369
shanghai,82,8,3,0035647|0076995|0070169
shanghai,83,8,3,0014984|0014973|0014949
shanghai,84,8,3,0022289|0022248|0022265
shanghai,85,8,3,0047522|0047521|0047520
shanghai,86,8,3,0064900|0064902|0064901
shanghai,87,8,3,0082195|0082194|0082199
shanghai,88,8,3,0188810|0188811|0082581
shanghai,89,8,3,0100643|0100653|0100655
shanghai,90,8,3,0155200|0155187|0155202
shanghai,91,8,3,0209410|0209396|0209409
shanghai,92,7,3,0001440|0001437|0001430
shanghai,93,7,3,0086669|0020394|0120060
shanghai,94,7,3,0022345|0022321|0022307
shanghai,95,7,3,0022383|0022384|0022351
shanghai,96,7,3,0024717|0024721|0024675
shanghai,97,7,3,0086387|0086388|0038931
shanghai,98,7,3,0063699|0089744|0063686
shanghai,99,7,3,0045445|0045444|0045447
shanghai,100,7,3,0055255|0055232|0055237
shanghai,101,7,3,0063218|0063225|0063223
shanghai,102,7,3,0079062|0079068|0079064
shanghai,103,7,3,0153217|0153222|0153220
shanghai,104,6,3,0014682|0014680|0014672
shanghai,105,6,3,0014695|0014687|0014691
shanghai,106,6,3,0015084|0015087|0015090
shanghai,107,6,3,0015299|0015301|0015295
shanghai,108,6,3,0109565|0035669|0025176
shanghai,109,6,3,0020549|0018871|0018867
shanghai,110,6,3,0022937|0022956|0022931
shanghai,111,6,3,0187053|0068977|0157054
shanghai,112,6,3,0085874|0085876|0038324
shanghai,113,6,3,0045600|0152948|0152942
shanghai,114,6,3,0078961|0048512|0078962
shanghai,115,6,3,0051449|0051428|0051433
shanghai,116,6,3,0076555|0089703|0076557
shanghai,117,6,3,0086697|0234906|0112304
shanghai,118,6,3,0155177|0155184|0155179
shanghai,119,5,3,0001350|0001349|0001312
shanghai,120,5,3,0002634|0002636|0002632
shanghai,121,5,3,0016215|0016205|0016241
shanghai,122,5,3,0089367|0016961|0041631
shanghai,123,5,3,0018606|0018592|0018590
shanghai,124,5,3,0018608|0018610|0018588
shanghai,125,5,3,0020081|0089572|0125449
shanghai,126,5,3,0028067|0028041|0028028
shanghai,127,5,3,0147749|0109519|0147742
shanghai,128,5,3,0035642|0089316|0102784
