city_code,community_id,merchant_count,anchor_count,anchor_merchants
shanghai,0,441,10,0035640|0014979|0047727|0089729|0086664|0089243|0147702|0082047|0061185|0019334
shanghai,1,416,10,0086148|0089310|0077150|0020321|0234894|0089725|0016961|0089367|0014582|0020311
shanghai,2,328,10,0054540|0146731|0035516|0054632|0014300|0063084|0054555|0035512|0035494|0014305
shanghai,3,318,10,0074541|0035666|0100696|0234879|0235098|0138991|0234877|0089301|0089611|0146720
shanghai,4,314,10,0064915|0036705|0235058|0045600|0089057|0113301|0034088|0089700|0089633|0055525
shanghai,5,259,10,0084667|0055200|0089290|0044498|0089294|0063027|0061216|0055192|0075782|0035650
shanghai,6,255,10,0118187|0084090|0019437|0035105|0143637|0016143|0102674|0084661|0146735|0089706
shanghai,7,253,10,0147454|0147420|0147603|0147560|0147551|0015797|0147577|0015244|0015178|0147693
shanghai,8,248,10,0028928|0089605|0077210|0084725|0063603|0014835|0089188|0063601|0113302|0165045
shanghai,9,234,10,0109519|0169346|0089341|0047944|0047947|0019001|0054796|0089406|0084705|0089721
shanghai,10,229,10,0102866|0146723|0024906|0146758|0048294|0234807|0048288|0048264|0066719|0219994
shanghai,11,220,10,0147394|0100416|0014295|0147265|0091009|0037703|0078880|0014421|0143456|0015044
shanghai,12,219,10,0038885|0143426|0020223|0077235|0014863|0089372|0109333|0089393|0039102|0083309
shanghai,13,213,10,0132106|0130077|0130176|0124498|0124693|0124578|0124580|0124499|0131956|0124250
shanghai,14,209,10,0019094|0063624|0077158|0063759|0086415|0065724|0065723|0063615|0075371|0089648
shanghai,15,207,10,0068772|0109291|0146719|0107276|0089622|0077088|0193819|0235087|0075000|0089059
shanghai,16,203,10,0016119|0075338|0089245|0075744|0109531|0035085|0044152|0072640|0050009|0109634
shanghai,17,178,9,0035651|0070164|0037134|0063381|0147768|0084728|0063380|0038489|0089230
shanghai,18,177,9,0021876|0021882|0021873|0132713|0044897|0109127|0087519|0146730|0089742
shanghai,19,168,9,0081927|0084683|0143427|0109126|0021171|0089094|0081947|0084694|0055116
shanghai,20,164,9,0235102|0146743|0235104|0089426|0016082|0112399|0048440|0084677|0197859
shanghai,21,160,8,0101672|0084706|0199894|0126724|0035646|0101677|0044629|0083507
shanghai,22,159,8,0084078|0035672|0086387|0105961|0146738|0038930|0086385|0069552
shanghai,23,159,8,0062998|0016934|0220061|0014502|0089121|0016937|0100775|0103506
shanghai,24,156,8,0089332|0234885|0025121|0025115|0112332|0100682|0172585|0143495
shanghai,25,150,8,0084097|0075555|0014473|0065043|0072948|0113063|0036780|0072944
shanghai,26,145,8,0035642|0041736|0089697|0014483|0089316|0109526|0086669|0100310
shanghai,27,143,8,0146710|0101571|0101625|0153920|0018747|0018743|0089694|0082099
shanghai,28,142,8,0049449|0049431|0075336|0049455|0017852|0146786|0049406|0017842
shanghai,29,137,7,0086697|0234906|0089200|0014372|0038988|0026722|0077202
shanghai,30,136,7,0075037|0082318|0235100|0208838|0064884|0064879|0064885
shanghai,31,135,7,0143450|0115635|0235110|0021518|0089234|0035660|0041512
shanghai,32,135,7,0037674|0143423|0109232|0021508|0101546|0147765|0084700
shanghai,33,134,7,0076555|0017185|0069794|0017183|0146732|0175674|0017151
shanghai,34,131,7,0050129|0050102|0050097|0201707|0201578|0050156|0050105
shanghai,35,128,7,0153921|0087514|0235046|0074997|0089397|0016976|0035644
shanghai,36,123,7,0044916|0146795|0077191|0084699|0089545|0235666|0034556
shanghai,37,122,7,0109145|0164990|0080047|0021496|0040440|0143169|0080050
